26.09.15 13:59
Projektstatistik

                     	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	#Files	
Gesamt:              	    2327	  9128	                     66387	                    72089	    95	
Verbleibend:         	       5	    16	                       101	                      112	     1	
Einmalig:            	    1923	  8392	                     60719	                    66099	    94	
Verbleibend einmalig:	       5	    16	                       101	                      112	     1	


Statistik einzelner Dateien:

Dateiname                                                                                                                                	Segmente Gesamt	Verbleibende Segmente	Einmalige Segmente	Verbleibende einmalige Segmente	Wörter Gesamt	Verbleibende Wörter:	Einmalige Wörter	Verbleibende einmalige Wörter	Zeichen Gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Einmalige Zeichen (ohne Leerzeichen)	Verbleibende einmalige Zeichen (ohne Leerzeichen)	Zeichen Gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Einmalige Zeichen (mit Leerzeichen)	Verbleibende einmalige Zeichen (mit Leerzeichen)	
Domain/src/org/jphototagger/domain/filefilter/Bundle.properties                                                                          	              5	                    0	                 5	                              0	            9	                   0	               9	                            0	                               71	                                      0	                                  71	                                                0	                              75	                                     0	                                 75	                                               0	
Domain/src/org/jphototagger/domain/imagecollections/Bundle.properties                                                                    	              3	                    0	                 3	                              0	            4	                   0	               4	                            0	                               36	                                      0	                                  36	                                                0	                              37	                                     0	                                 37	                                               0	
Domain/src/org/jphototagger/domain/metadata/exif/Bundle.properties                                                                       	              7	                    0	                 7	                              0	           12	                   0	              12	                            0	                               90	                                      0	                                  90	                                                0	                              95	                                     0	                                 95	                                               0	
Domain/src/org/jphototagger/domain/metadata/file/Bundle.properties                                                                       	              3	                    0	                 3	                              0	            5	                   0	               5	                            0	                               50	                                      0	                                  50	                                                0	                              52	                                     0	                                 52	                                               0	
Domain/src/org/jphototagger/domain/metadata/search/Bundle.properties                                                                     	              9	                    0	                 9	                              0	           15	                   0	              15	                            0	                               78	                                      0	                                  78	                                                0	                              84	                                     0	                                 84	                                               0	
Domain/src/org/jphototagger/domain/metadata/thumbnails/Bundle.properties                                                                 	              1	                    0	                 0	                              0	            1	                   0	               0	                            0	                               12	                                      0	                                   0	                                                0	                              12	                                     0	                                  0	                                               0	
Domain/src/org/jphototagger/domain/metadata/xmp/Bundle.properties                                                                        	             40	                    0	                40	                              0	          230	                   0	             230	                            0	                             1345	                                      0	                                1345	                                                0	                            1484	                                     0	                               1484	                                               0	
Domain/src/org/jphototagger/domain/thumbnails/Bundle.properties                                                                          	              2	                    0	                 2	                              0	            5	                   0	               5	                            0	                               32	                                      0	                                  32	                                                0	                              35	                                     0	                                 35	                                               0	
Domain/src/org/jphototagger/domain/timeline/Bundle.properties                                                                            	              3	                    0	                 3	                              0	            5	                   0	               5	                            0	                               23	                                      0	                                  23	                                                0	                              25	                                     0	                                 25	                                               0	
Exif/src/org/jphototagger/exif/Bundle.properties                                                                                         	              6	                    0	                 6	                              0	           17	                   0	              17	                            0	                              121	                                      0	                                 121	                                                0	                             132	                                     0	                                132	                                               0	
Exif/src/org/jphototagger/exif/ExifTagIdTagNameTranslations.properties                                                                   	            128	                    0	               119	                              0	          312	                   0	             299	                            0	                             2387	                                      0	                                2288	                                                0	                            2557	                                     0	                               2454	                                               0	
Exif/src/org/jphototagger/exif/ExifTagNameTranslations.properties                                                                        	              9	                    0	                 5	                              0	           15	                   0	              11	                            0	                              132	                                      0	                                  90	                                                0	                             138	                                     0	                                 96	                                               0	
Exif/src/org/jphototagger/exif/formatter/canon/Bundle.properties                                                                         	              3	                    0	                 2	                              0	            3	                   0	               2	                            0	                               37	                                      0	                                  29	                                                0	                              37	                                     0	                                 29	                                               0	
Exif/src/org/jphototagger/exif/formatter/ExifExifIfdFieldValueTranslations.properties                                                    	             31	                    0	                23	                              0	           36	                   0	              28	                            0	                              359	                                      0	                                 306	                                                0	                             364	                                     0	                                311	                                               0	
Exif/src/org/jphototagger/exif/kmlexport/Bundle.properties                                                                               	              7	                    0	                 7	                              0	           47	                   0	              47	                            0	                              324	                                      0	                                 324	                                                0	                             356	                                     0	                                356	                                               0	
Exif/src/org/jphototagger/exif/tag/Bundle.properties                                                                                     	              8	                    0	                 7	                              0	            8	                   0	               7	                            0	                               26	                                      0	                                  22	                                                0	                              26	                                     0	                                 22	                                               0	
ExportersImporters/JPhotoTaggerExportersImporters/src/org/jphototagger/eximport/jpt/exporter/Bundle.properties                           	             22	                    0	                21	                              0	           45	                   0	              43	                            0	                              559	                                      0	                                 530	                                                0	                             582	                                     0	                                552	                                               0	
ExternalThumbnailCreationCommands/DefaultExternalThumbnailCreationCommands/src/org/jphototagger/tcc/def/Bundle.properties                	             29	                    5	                29	                              5	          171	                  16	             171	                           16	                             1227	                                    101	                                1227	                                              101	                            1332	                                   112	                               1332	                                             112	
