02.02.13 22:19
Projektstatistik

                                 	Segmente	Wörter	Zeichen (ohne Leerzeichen)	Zeichen (mit Leerzeichen)	
Insgesamt:                       	    2454	  9643	                     55779	                    61929	
Verbleibend:                     	    2454	  9643	                     55779	                    61929	
Eindeutig:                       	    1972	  8645	                     49867	                    55533	
Verbleibende eindeutige Segmente:	    1972	  8645	                     49867	                    55533	


Statistik einzelner Dateien:

Dateiname                                                                                      	Segmente gesamt	Verbleibende Segmente	Eindeutige Segmente	Eindeutige verbleibende Segmente	Wörter gesamt:	Verbleibende Wörter:	Eindeutige Wörter	Eindeutige verbleibende Wörter	Zeichen gesamt (ohne Leerzeichen)	Verbleibende Zeichen (ohne Leerzeichen)	Eindeutige Zeichen (ohne Leerzeichen)	Eindeutige verbleibende Zeichen (ohne Leerzeichen)	Zeichen gesamt (mit Leerzeichen)	Verbleibende Zeichen (mit Leerzeichen)	Eindeutige Zeichen (mit Leerzeichen)	Eindeutige verbleibende Zeichen (mit Leerzeichen)	
Localization/src/org/jphototagger/dfwm/Bundle.properties                                       	              5	                    5	                  5	                               5	            29	                  29	               29	                            29	                              156	                                    156	                                  156	                                               156	                             180	                                   180	                                 180	                                              180	
Localization/src/org/jphototagger/domain/filefilter/Bundle.properties                          	              5	                    5	                  5	                               5	            11	                  11	               11	                            11	                               65	                                     65	                                   65	                                                65	                              71	                                    71	                                  71	                                               71	
Localization/src/org/jphototagger/domain/imagecollections/Bundle.properties                    	              3	                    3	                  3	                               3	             4	                   4	                4	                             4	                               28	                                     28	                                   28	                                                28	                              29	                                    29	                                  29	                                               29	
Localization/src/org/jphototagger/domain/metadata/exif/Bundle.properties                       	              7	                    7	                  7	                               7	            16	                  16	               16	                            16	                               81	                                     81	                                   81	                                                81	                              90	                                    90	                                  90	                                               90	
Localization/src/org/jphototagger/domain/metadata/file/Bundle.properties                       	              3	                    3	                  3	                               3	             6	                   6	                6	                             6	                               35	                                     35	                                   35	                                                35	                              38	                                    38	                                  38	                                               38	
Localization/src/org/jphototagger/domain/metadata/search/Bundle.properties                     	              9	                    9	                  9	                               9	            14	                  14	               14	                            14	                               67	                                     67	                                   67	                                                67	                              72	                                    72	                                  72	                                               72	
Localization/src/org/jphototagger/domain/metadata/thumbnails/Bundle.properties                 	              1	                    1	                  0	                               0	             1	                   1	                0	                             0	                                9	                                      9	                                    0	                                                 0	                               9	                                     9	                                   0	                                                0	
Localization/src/org/jphototagger/domain/metadata/xmp/Bundle.properties                        	             41	                   41	                 38	                              38	           203	                 203	              192	                           192	                             1086	                                   1086	                                 1018	                                              1018	                            1200	                                  1200	                                1124	                                             1124	
Localization/src/org/jphototagger/domain/thumbnails/Bundle.properties                          	              2	                    2	                  2	                               2	             6	                   6	                6	                             6	                               26	                                     26	                                   26	                                                26	                              30	                                    30	                                  30	                                               30	
Localization/src/org/jphototagger/domain/timeline/Bundle.properties                            	              3	                    3	                  3	                               3	             5	                   5	                5	                             5	                               27	                                     27	                                   27	                                                27	                              29	                                    29	                                  29	                                               29	
Localization/src/org/jphototagger/exif/Bundle.properties                                       	              6	                    6	                  6	                               6	            17	                  17	               17	                            17	                               92	                                     92	                                   92	                                                92	                             103	                                   103	                                 103	                                              103	
Localization/src/org/jphototagger/exif/ExifTagIdTagNameTranslations.properties                 	            123	                  123	                111	                             111	           372	                 372	              336	                           336	                             2172	                                   2172	                                 1957	                                              1957	                            2421	                                  2421	                                2182	                                             2182	
Localization/src/org/jphototagger/exif/ExifTagNameTranslations.properties                      	              9	                    9	                  4	                               4	            21	                  21	               15	                            15	                              108	                                    108	                                   66	                                                66	                             120	                                   120	                                  77	                                               77	
